Job Title,Job link,Company,Location,Category,Salary,Experience
MIS Executive- Kolkata,https://internshala.com/job/detail/fresher-mis-executive-kolkata-job-in-kolkata-at-moople-academy-private-limited1760359772,Moople Academy Private Limited,,Information Technology,"₹ 2,00,000 - 2,02,000 /year",0 year(s)
Backend Developer,https://internshala.com/job/detail/backend-developer-job-in-vadodara-at-sharedpro1761286307,Sharedpro,,Software Development,"₹ 4,80,000 - 6,00,000 /year",1 year(s)
Full Stack Developer,https://internshala.com/job/detail/full-stack-developer-job-in-multiple-locations-at-jungleworks1761376972,Jungleworks,,Software Development,"₹ 6,00,000 - 8,00,000 /year",1 year(s)
Associate Android App Developer,https://internshala.com/job/detail/associate-android-app-developer-job-in-mumbai-at-supradigit-solutions-private-limited1761543123,SupraDigit Solutions Private Limited,,Software Development,"₹ 2,74,000 - 4,70,000 /year",1 year(s)
Senior Web Developer,https://internshala.com/job/detail/senior-web-developer-job-in-mumbai-at-pepmedia-services1761637400,Pepmedia Services,,Software Development,"₹ 2,50,000 - 3,50,000 /year",1 year(s)
Full Stack Developer,https://internshala.com/job/detail/full-stack-developer-job-in-mumbai-at-aureva-wealth-advisors-private-limited1761713624,Aureva Wealth Advisors Private Limited,,Software Development,"₹ 4,00,000 - 6,00,000 /year",1 year(s)
Full Stack Developer,https://internshala.com/job/detail/full-stack-developer-job-in-bangalore-at-funded-nation1761723125,Funded Nation,,Software Development,"₹ 3,00,000 - 3,60,000 /year",1 year(s)
Junior Full Stack Developer,https://internshala.com/job/detail/junior-full-stack-developer-job-in-multiple-locations-at-teztrade-exports-private-limited1761812722,TezTrade Exports Private Limited,,Software Development,"₹ 4,80,000 - 7,20,000 /year",1 year(s)
React Developer,https://internshala.com/job/detail/react-developer-job-in-thane-at-sixtyfour-data-intelligence-llp1761822424,SixtyFour Data Intelligence LLP,,Software Development,"₹ 5,50,000 - 8,00,000 /year",1 year(s)
Shopify Developer,https://internshala.com/job/detail/shopify-developer-job-in-gurgaon-at-startup-squad-private-limited1761827971,STARTUP SQUAD PRIVATE LIMITED,,Software Development,"₹ 3,50,000 - 6,00,000 /year",1 year(s)
,,,,Information Technology,Not disclosed,Fresher
Tech Development Associate (AI-Assisted Coding),https://internshala.com/job/detail/fresher-remote-tech-development-associate-ai-assisted-coding-job-at-marpu-foundation1761204571,Marpu Foundation,,Software Development,"₹ 14,50,000 /year",0 year(s)
IT Support Associate (AI-Integrated Tools),https://internshala.com/job/detail/fresher-remote-it-support-associate-ai-integrated-tools-job-at-marpu-foundation1761204129,Marpu Foundation,,Information Technology,"₹ 14,50,000 /year",0 year(s)
Junior Product Manager,https://internshala.com/job/detail/junior-product-manager-job-in-bangalore-at-vridhi-finserv-home-finance-ltd1761729395,Vridhi Finserv Home Finance Ltd,,Project Management,"₹ 4,80,000 - 7,00,000 /year",1 year(s)
IT Service Desk-Trainee,https://internshala.com/job/detail/fresher-it-service-desk-trainee-job-in-hyderabad-at-movate-technologies1761740765,Movate Technologies,,Information Technology,"₹ 2,10,000 - 2,95,000 /year",0 year(s)
AWS  Devops Engineer,https://internshala.com/job/detail/remote-aws-devops-engineer-job-at-aliqan-technologies1761611522,ALIQAN Technologies,,DevOps,"₹ 40,00,000 - 50,00,000 /year",4 year(s)
Dotnet Architect,https://internshala.com/job/detail/dotnet-architect-job-in-hyderabad-at-e-solutions1757982779,E - Solutions,,Information Technology,"₹ 30,00,000 - 45,00,000 /year",10 year(s)
Firmware Developer,https://internshala.com/job/detail/firmware-developer-job-in-multiple-locations-at-hire-xpert1758328260,Hire Xpert,,Software Development,"₹ 25,00,000 - 35,00,000 /year",4 year(s)
Solution Architect/Application Architect,https://internshala.com/job/detail/solution-architect-application-architect-job-in-patna-at-aces-global-consulting-pvt-ltd1761352254,Aces Global Consulting Pvt Ltd,,Information Technology,"₹ 25,00,000 - 28,00,000 /year",10 year(s)
.NET Developer,https://internshala.com/job/detail/net-developer-job-in-pune-at-tek-ninjas1758243381,TEK NINJAS,,Software Development,"₹ 20,00,000 - 35,00,000 /year",7 year(s)
.NET Developer,https://internshala.com/job/detail/net-developer-job-in-bangalore-at-tek-ninjas1758243377,TEK NINJAS,,Software Development,"₹ 20,00,000 - 35,00,000 /year",7 year(s)
Java Developer,https://internshala.com/job/detail/fresher-java-developer-job-in-bangalore-at-prospance-inc1758674840,Prospance Inc,,Software Development,"₹ 20,00,000 - 30,00,000 /year",0 year(s)
Senior Software Developer,https://internshala.com/job/detail/senior-software-developer-job-in-gurgaon-at-aces-global-consulting-pvt-ltd1758760363,Aces Global Consulting Pvt Ltd,,Software Development,"₹ 20,00,000 - 25,00,000 /year",5 year(s)
Network Lead,https://internshala.com/job/detail/network-lead-job-in-multiple-locations-at-aliqan-technologies1757723408,ALIQAN Technologies,,Information Technology,"₹ 18,00,000 - 24,00,000 /year",6 year(s)
