Role,Skills,ATS Keywords
Web Developer,"HTML, CSS, JavaScript, React, Node.js, Git, REST APIs","frontend, backend, web development, responsive design, UI, UX, API integration"
Data Scientist,"Python, Pandas, NumPy, Scikit-learn, Jupyter, Statistics","data cleaning, machine learning, predictive analytics, data modeling, exploratory analysis"
Data Analyst,"SQL,Excel,Tableau,Power BI,Python,Pandas,Data Visualization,numpy,seaborn,matplotlib","pivot tables,KPI analysis, ad-hoc reports,dashboards,business intelligence"
Data Engineer,"Python, Spark, SQL, Airflow, Kafka, Snowflake","ETL pipelines, big data, data warehouse, stream processing, schema design"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Scikit-learn, Model Deployment","deep learning, classification, regression, cross-validation, tuning"
AI Engineer,"NLP, Computer Vision, Transformers, HuggingFace, Python","chatbots, intelligent systems, generative models, model training, inference"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, MongoDB","frontend, backend, full stack, API design, version control"
Backend Developer,"Node.js, Django, Flask, Java, SQL","server-side, scalability, RESTful APIs, microservices, backend logic"
Frontend Developer,"JavaScript, React, CSS, HTML, Tailwind, Vue.js","UI, UX, responsive layout, design systems, DOM manipulation"
Android Developer,"Kotlin, Java, Android Studio, Firebase, Jetpack","android app, material design, mobile app development, MVVM"
iOS Developer,"Swift, UIKit, Xcode, SwiftUI, CoreData","iOS development, interface builder, storyboards, mobile apps"
DevOps Engineer,"Docker, Kubernetes, Jenkins, Terraform, GitHub Actions","CI/CD, infrastructure as code, containerization, deployment"
Cloud Engineer,"AWS, GCP, Azure, EC2, Lambda, CloudFormation","cloud architecture, S3, scalability, cloud-native, cloud migration"
UI/UX Designer,"Figma, Sketch, Adobe XD, Prototyping, Wireframing","user interface, visual design, user experience, mockups"
Cybersecurity Analyst,"Kali Linux, Metasploit, Wireshark, Burp Suite","penetration testing, vulnerability assessment, incident response, firewall"
Software Tester,"Selenium, JUnit, Postman, Manual Testing, Automation","test cases, QA, bug tracking, regression testing, test planning"
QA Engineer,"TestNG, Cypress, Jenkins, Unit Testing, Load Testing","quality assurance, test scripts, test coverage, CI pipelines"
Digital Marketer,"Google Ads, Meta Ads, SEO, SEM, Analytics","PPC, campaign management, keyword research, lead generation"
Content Strategist,"SEO, Blogging, Content Calendar, Copywriting, Canva","on-page SEO, brand voice, conversion rate, storytelling"
Game Developer,"Unity, C#, Unreal, Game Physics, 2D/3D Assets","game logic, animation, gameplay systems, rendering"
